R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R24;R13;R14;R15;R16;R17;R18;R19;R20;R21;R25;PD25;PD26;PD27;PD28;PD29;PD30;Puissance estimée (W);T_ref;timestamp
31,41615398;33,35614066;33,33882328;32,11865745;32,30165731;33,13451823;31,69259024;32,34940849;32,39399027;31,77264113;30,74377581;30,40733346;31,07432879;30,21127737;31,19830038;32,13569769;31,85327477;30,69676363;32,64778631;31,22711979;31,59932176;25,43089846;0,002;0,001;0,001;0,002;0,041;0,047;9,913154252;25,43089846;2025-04-18T13:24:46
31,3350876;33,27519481;33,25855681;32,07732251;32,26132192;33,09383456;31,61417237;32,26515899;32,27366634;31,69377374;30,70547193;30,40733346;31,03128629;30,13157286;31,09090759;32,09851358;31,81534397;30,65967308;32,56734415;31,15018407;31,55913354;25,43089846;0,001;0,002;0,001;0,001;0,04;0,047;9,811904524;25,43089846;2025-04-18T13:24:47
31,3350876;33,23471175;33,17826904;32,03597867;32,22097487;33,09383456;31,57495359;32,26515899;32,23355022;31,65432784;30,66716414;30,36706601;30,98822833;30,13157286;31,05509918;32,06133173;31,7774062;30,62257636;32,52711271;31,11170916;31,51893536;25,43089846;0,001;0,002;0,001;0,002;0,04;0,047;9,761266979;25,43089846;2025-04-18T13:24:47
31,3350876;33,19422188;33,13811706;31,99462589;32,22097487;33,09383456;31,57495359;32,22301819;32,23355022;31,65432784;30,66716414;30,32679148;30,94515486;30,09171123;31,01928529;32,0241521;31,73946143;30,58547342;32,48687431;31,11170916;31,47872717;25,38958991;0,001;0,002;0,001;0,001;0,04;0,047;9,762290998;25,38958991;2025-04-18T13:24:47
31,29453998;33,15372515;33,09795964;31,95326413;32,22097487;33,01245076;31,53572821;32,18086662;32,19342997;31,61487374;30,62885241;30,32679148;30,90206583;30,05184329;30,9834659;31,98697465;31,70150962;30,54836424;32,4466289;31,07322949;31,43850892;25,38958991;0,001;0,002;0,001;0,002;0,04;0,048;9,711636354;25,38958991;2025-04-18T13:24:48
31,29453998;33,15372515;33,05779673;31,91189333;32,18061613;33,01245076;31,53572821;32,13870424;32,19342997;31,61487374;30,55221697;30,28650983;30,90206583;30,011969;30,94764096;31,98697465;31,66355073;30,54836424;32,40637644;31,03474502;31,43850892;25,38958991;0,001;0,002;0,001;0,002;0,04;0,048;9,711636354;25,38958991;2025-04-18T13:24:48
31,29453998;33,11322153;33,01762829;31,87051347;32,14024564;32,97175054;31,53572821;32,13870424;32,1131769;31,57541141;30,55221697;30,28650983;30,85896118;30,011969;30,91181044;31,94979936;31,62558471;30,51124876;32,3661169;30,99625573;31,43850892;25,34826789;0,001;0,002;0,001;0,002;0,041;0,048;9,712660032;25,34826789;2025-04-18T13:24:48
31,25398268;33,11322153;33,01762829;31,82912449;32,14024564;32,97175054;31,49649618;32,09653101;32,07304401;31,53594081;30,51389319;30,24622101;30,81584087;29,93220119;30,8759743;31,91262619;31,58761153;30,47412695;32,32585022;30,95776156;31,35804211;25,34826789;0,001;0,002;0,001;0,003;0,041;0,048;9,712660032;25,34826789;2025-04-18T13:24:49
31,25398268;33,07271096;32,97745428;31,78772634;32,09986337;32,89033328;31,41801199;32,05434688;32,03290681;31,49646188;30,51389319;30,20592498;30,81584087;29,89230759;30,8401325;31,87545511;31,54963115;30,47412695;32,28557637;30,91926247;31,31779345;25,34826789;0,001;0,002;0,001;0,003;0,042;0,048;9,661988084;25,34826789;2025-04-18T13:24:49
31,25398268;33,03219342;32,97745428;31,78772634;32,09986337;32,84961616;31,41801199;32,05434688;32,03290681;31,4569746;30,43723328;30,1656217;30,81584087;29,85240747;30,80428502;31,87545511;31,51164353;30,47412695;32,24529531;30,88075844;31,27753456;25,38958991;0,001;0,002;0,001;0,003;0,042;0,048;9,559620457;25,38958991;2025-04-18T13:24:49
31,25398268;33,03219342;32,89708939;31,746319;32,05946927;32,84961616;31,37875975;32,05434688;31,99276527;31,49646188;30,43723328;30,1656217;30,77270484;29,81250078;30,80428502;31,83828606;31,51164353;30,47412695;32,24529531;30,80373536;31,23726541;25,34826789;0,001;0,001;0,001;0,003;0,042;0,048;9,611307406;25,34826789;2025-04-18T13:24:50
31,21341565;32,99166886;32,89708939;31,7049024;32,0190633;32,80889331;31,33950069;32,01215181;31,99276527;31,41747891;30,39889708;30,12531113;30,77270484;29,81250078;30,7684318;31,76395399;31,47364864;30,43699878;32,20500699;30,80373536;31,23726541;25,34826789;0,001;0,001;0;0,003;0,042;0,049;9,560617945;25,34826789;2025-04-18T13:24:50
31,17283886;32,95113723;32,85689843;31,7049024;31,97864541;32,72743028;31,33950069;32,01215181;31,95261935;31,41747891;30,36055667;30,08499321;30,77270484;29,77258749;30,7684318;31,72679088;31,43564642;30,43699878;32,20500699;30,72669199;31,23726541;25,34826789;0,001;0,001;0,001;0,003;0,042;0,049;9,509919651;25,34826789;2025-04-18T13:24:50
31,13225225;32,95113723;32,81670173;31,66347652;31,93821556;32,72743028;31,30023478;31,96994575;31,91246902;31,37797478;30,36055667;30,04466791;30,77270484;29,77258749;30,73257281;31,68962968;31,39763684;30,3998642;32,16471138;30,68816261;31,19698594;25,34826789;0,001;0,001;0,001;0,003;0,042;0,049;9,509919651;25,34826789;2025-04-18T13:24:51
31,13225225;32,9105985;32,77649927;31,6220413;31,8977737;32,68669002;31,26096197;31,96994575;31,91246902;31,33846216;30,32221199;30,00433519;30,77270484;29,73266754;30,73257281;31,68962968;31,39763684;30,3998642;32,12440842;30,64962803;31,19698594;25,34826789;0,001;0,001;0,001;0,003;0,042;0,049;9,459212471;25,34826789;2025-04-18T13:24:51
31,09165579;32,87005263;32,73629099;31,6220413;31,8977737;32,64594388;31,22168221;31,92772865;31,87231422;31,29894101;30,32221199;29,96399499;30,72955305;29,73266754;30,69670802;31,65247035;31,35961986;30,3998642;32,12440842;30,64962803;31,15669611;25,34826789;0,001;0,001;0,001;0,002;0,042;0,049;9,408496352;25,34826789;2025-04-18T13:24:51
31,05104942;32,82949956;32,69607685;31,5805967;31,8977737;32,6051918;31,14310172;31,88550048;31,83215491;31,33846216;30,28386302;29,92364728;30,72955305;29,6927409;30,69670802;31,57815717;31,32159545;30,3998642;32,08409809;30,64962803;31,11639588;25,34826789;0,002;0,002;0,001;0,003;0,042;0,049;9,357771244;25,34826789;2025-04-18T13:24:52
31,01043311;32,74837171;32,65585682;31,5805967;31,85731979;32,56443376;31,10380089;31,84326119;31,79199107;31,29894101;30,24550972;29,92364728;30,68638544;29,6927409;30,66083739;31,61531286;31,28356355;30,36272318;32,04378033;30,61108822;31,11639588;25,34826789;0,001;0,002;0,001;0,002;0,042;0,049;9,256293847;25,34826789;2025-04-18T13:24:52
30,96980681;32,74837171;32,61563085;31,53914268;31,81685379;32,5236697;31,10380089;31,80101073;31,79199107;31,29894101;30,20715203;29,883292;30,64320197;29,6927409;30,66083739;31,57815717;31,28356355;30,36272318;32,04378033;30,57254315;31,11639588;25,34826789;0,001;0,002;0,001;0,003;0,041;0,048;9,256293847;25,34826789;2025-04-18T13:24:52
30,92917047;32,70779683;32,5753989;31,49767918;31,77637564;32,48289959;31,06449296;31,75874905;31,75182264;31,25941129;30,20715203;29,883292;30,60000258;29,65280752;30,66083739;31,54100325;31,24552414;30,32557567;32,00345511;30,57254315;31,0760852;25,30693233;0,001;0,002;0,002;0,003;0,041;0,049;9,25724533;25,30693233;2025-04-18T13:24:53
