R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R24,R13,R14,R15,R16,R17,R18,R19,R20,R21,R25,PD25,PD26,PD27,PD28,PD29,PD30,timestamp,temps_ecoule_s
32.29,34.47,34.24,32.8,33.37,34.38,32.58,33.63,33.74,32.82,32.3,32.95,32.73,31.83,32.11,33.2,32.67,31.76,33.88,32.21,32.9,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:54,0.0
32.21,34.43,34.16,32.72,33.37,34.3,32.54,33.63,33.7,32.82,32.22,32.91,32.64,31.79,32.08,33.16,32.6,31.68,33.8,32.21,32.86,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:54,0.231
32.17,34.35,34.08,32.68,33.33,34.26,32.5,33.55,33.7,32.78,32.18,32.85,32.64,31.71,32.04,33.09,32.56,31.64,33.72,32.13,32.79,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:55,0.797
32.17,34.35,34.08,32.6,33.25,34.21,32.46,33.47,33.62,32.74,32.11,32.81,32.6,31.67,32.01,33.05,32.52,31.61,33.68,32.1,32.75,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:55,1.278
32.17,34.27,34.04,32.6,33.25,34.13,32.38,33.42,33.58,32.7,32.07,32.75,32.56,31.63,31.93,33.01,32.52,31.61,33.6,32.02,32.67,26.45,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:56,1.771
32.13,34.23,34.0,32.56,33.21,34.09,32.34,33.38,33.54,32.66,32.03,32.71,32.51,31.59,31.93,32.94,32.44,31.57,33.52,31.98,32.63,26.45,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:56,2.346
32.09,34.19,33.96,32.52,33.17,34.01,32.3,33.38,33.5,32.58,31.95,32.67,32.47,31.51,31.9,32.9,32.41,31.5,33.48,31.98,32.59,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:57,2.871
32.09,34.11,33.92,32.47,33.13,33.93,32.26,33.34,33.42,32.58,31.91,32.62,32.43,31.47,31.86,32.87,32.37,31.5,33.39,31.9,32.55,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:57,3.405
32.05,34.07,33.92,32.43,33.05,33.93,32.23,33.3,33.34,32.54,31.91,32.58,32.39,31.43,31.83,32.79,32.33,31.46,33.35,31.87,32.51,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:58,3.947
32.05,34.03,33.88,32.39,33.05,33.89,32.19,33.26,33.3,32.51,31.84,32.54,32.34,31.39,31.79,32.72,32.29,31.46,33.27,31.83,32.47,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:59,4.475
32.01,33.99,33.8,32.35,33.01,33.81,32.15,33.17,33.22,32.47,31.8,32.5,32.3,31.39,31.76,32.68,32.26,31.42,33.27,31.79,32.43,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:14:59,5.042
32.01,33.91,33.76,32.31,32.93,33.77,32.11,33.13,33.18,32.39,31.76,32.45,32.26,31.31,31.72,32.64,32.22,31.39,33.23,31.71,32.39,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:00,5.546
31.97,33.87,33.72,32.31,32.89,33.73,32.07,33.09,33.14,32.35,31.69,32.41,32.17,31.31,31.72,32.6,32.18,31.31,33.19,31.71,32.35,26.45,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:00,6.072
31.89,33.78,33.68,32.27,32.85,33.69,32.03,33.05,33.1,32.31,31.65,32.37,32.13,31.27,31.68,32.57,32.14,31.31,33.15,31.67,32.27,26.49,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:01,6.605
31.89,33.74,33.64,32.23,32.77,33.65,31.99,33.05,33.06,32.27,31.61,32.34,32.09,31.23,31.65,32.53,32.1,31.24,33.15,31.67,32.27,26.45,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:01,7.151
31.81,33.7,33.56,32.19,32.73,33.61,31.95,32.96,33.02,32.23,31.57,32.29,32.04,31.15,31.61,32.49,32.07,31.2,33.11,31.64,32.19,26.45,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:02,7.683
31.81,33.66,33.52,32.14,32.65,33.57,31.91,32.92,32.94,32.19,31.53,32.25,31.96,31.11,31.58,32.46,32.03,31.16,33.07,31.6,32.15,26.45,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:02,8.225
31.77,33.62,33.48,32.1,32.61,33.53,31.87,32.88,32.9,32.11,31.49,32.22,31.92,31.07,31.54,32.42,31.99,31.13,33.03,31.6,32.11,26.4,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:03,8.754
31.72,33.58,33.44,32.06,32.57,33.44,31.83,32.84,32.86,32.07,31.42,32.17,31.87,30.99,31.51,32.38,31.95,31.09,32.99,31.52,32.07,26.4,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:03,9.269
31.68,33.5,33.36,32.02,32.53,33.4,31.8,32.8,32.82,32.03,31.38,32.11,31.83,30.95,31.47,32.34,31.91,31.05,32.91,31.48,31.99,26.4,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:04,9.819
31.64,33.46,33.36,32.02,32.45,33.36,31.76,32.71,32.74,31.99,31.34,32.07,31.74,30.91,31.43,32.31,31.88,31.02,32.83,31.44,31.95,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:04,10.35
31.6,33.46,33.32,31.98,32.41,33.28,31.72,32.67,32.7,31.95,31.3,32.02,31.7,30.87,31.36,32.27,31.84,30.98,32.79,31.4,31.87,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:05,10.892
31.56,33.42,33.24,31.94,32.37,33.2,31.68,32.63,32.66,31.95,31.27,31.98,31.66,30.83,31.33,32.2,31.8,30.94,32.79,31.33,31.82,26.36,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:05,11.441
31.52,33.34,33.2,31.9,32.33,33.16,31.68,32.54,32.58,31.88,31.23,31.92,31.62,30.79,31.26,32.12,31.72,30.87,32.71,31.29,31.78,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:06,11.956
31.48,33.3,33.16,31.85,32.29,33.08,31.64,32.5,32.54,31.84,31.15,31.87,31.57,30.75,31.22,32.08,31.69,30.83,32.67,31.21,31.7,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:07,12.499
31.44,33.26,33.12,31.85,32.25,33.04,31.6,32.46,32.5,31.8,31.11,31.83,31.53,30.67,31.15,32.05,31.65,30.83,32.59,31.17,31.7,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:07,13.029
31.4,33.22,33.04,31.81,32.21,33.0,31.56,32.42,32.46,31.76,31.07,31.79,31.49,30.67,31.11,32.01,31.61,30.83,32.55,31.1,31.66,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:08,13.572
31.36,33.14,33.0,31.77,32.17,32.96,31.48,32.38,32.46,31.72,31.04,31.75,31.45,30.59,31.08,31.97,31.54,30.79,32.51,31.06,31.66,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:08,14.105
31.32,33.14,32.96,31.73,32.12,32.92,31.44,32.33,32.42,31.68,31.0,31.71,31.36,30.59,31.04,31.9,31.5,30.72,32.47,31.02,31.62,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:09,14.634
31.28,33.06,32.92,31.69,32.08,32.87,31.4,32.29,32.38,31.64,30.92,31.67,31.32,30.55,31.01,31.86,31.5,30.68,32.43,30.98,31.58,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:09,15.172
31.24,33.02,32.84,31.65,32.04,32.83,31.36,32.25,32.34,31.6,30.92,31.63,31.27,30.52,31.01,31.82,31.46,30.61,32.39,30.94,31.54,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:10,15.707
31.2,32.98,32.8,31.61,32.0,32.79,31.32,32.21,32.3,31.56,30.84,31.58,31.23,30.48,30.97,31.79,31.38,30.61,32.39,30.9,31.46,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:10,16.239
31.2,32.94,32.72,31.56,31.96,32.75,31.29,32.16,32.3,31.48,30.84,31.54,31.23,30.44,30.93,31.75,31.35,30.57,32.31,30.87,31.42,26.28,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:11,16.771
31.16,32.89,32.68,31.52,31.96,32.71,31.21,32.12,32.26,31.48,30.81,31.51,31.19,30.36,30.9,31.71,31.35,30.53,32.27,30.83,31.38,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:11,17.312
31.16,32.85,32.64,31.48,31.92,32.67,31.17,32.08,32.22,31.44,30.77,31.46,31.14,30.36,30.86,31.64,31.31,30.5,32.19,30.79,31.34,26.28,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:12,17.843
31.08,32.77,32.6,31.4,31.88,32.63,31.13,32.04,32.14,31.44,30.73,31.42,31.06,30.32,30.83,31.56,31.31,30.46,32.19,30.75,31.3,26.32,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:12,18.37
31.04,32.77,32.6,31.4,31.84,32.59,31.09,32.0,32.1,31.4,30.69,31.38,31.06,30.28,30.79,31.53,31.27,30.39,32.11,30.71,31.22,26.28,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:13,18.907
31.04,32.73,32.56,31.32,31.8,32.55,31.05,31.95,32.02,31.32,30.61,31.33,31.02,30.24,30.79,31.49,31.23,30.39,32.07,30.67,31.14,26.28,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:13,19.449
31.0,32.65,32.52,31.32,31.76,32.47,31.01,31.91,31.98,31.28,30.58,31.29,30.97,30.16,30.75,31.45,31.15,30.39,32.03,30.64,31.1,26.28,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:14,19.978
31.0,32.65,32.48,31.27,31.72,32.43,30.97,31.87,31.94,31.24,30.5,31.25,30.93,30.12,30.72,31.38,31.12,30.35,31.99,30.6,31.06,26.24,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:15,20.522
30.95,32.61,32.44,31.23,31.68,32.39,30.93,31.83,31.86,31.2,30.5,31.21,30.89,30.08,30.65,31.34,31.08,30.31,31.91,30.56,31.06,26.24,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:15,21.05
30.91,32.57,32.4,31.23,31.64,32.34,30.89,31.78,31.82,31.17,30.42,31.17,30.84,30.04,30.65,31.3,31.04,30.24,31.87,30.52,31.02,26.24,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:16,21.583
30.87,32.53,32.36,31.19,31.64,32.26,30.85,31.78,31.74,31.13,30.38,31.14,30.8,30.0,30.61,31.3,31.0,30.24,31.83,30.52,31.02,26.24,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:16,22.125
30.83,32.49,32.32,31.19,31.6,32.26,30.81,31.78,31.7,31.09,30.35,31.11,30.76,30.0,30.58,31.27,30.96,30.2,31.79,30.48,30.98,26.2,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:15:17,22.657
