Baseline 100%T,,Baseline 0%T,,Plaque Gravee-1,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2500,112.3732834,2500,0.3175268471,2500,34.33504486,
2499,112.2396011,2499,0.3345195949,2499,34.30847168,
2498,112.1797714,2498,0.3138840199,2498,34.26789474,
2497,111.9620667,2497,0.3515173495,2497,34.22625732,
2496,111.8578796,2496,0.2971520126,2496,34.27822113,
2495,111.7693329,2495,0.378864795,2495,34.15545654,
2494,111.6823578,2494,0.3149239123,2494,34.17509079,
2493,111.4928131,2493,0.3088697195,2493,34.14259338,
2492,111.4631805,2492,0.2855733633,2492,34.11735153,
2491,111.27565,2491,0.3526105583,2491,34.09107971,
2490,111.1588745,2490,0.3671498001,2490,34.06094742,
2489,111.0737457,2489,0.324524045,2489,34.1006012,
2488,110.9875336,2488,0.3382820785,2488,34.03513336,
2487,110.8939896,2487,0.3227188885,2487,34.07978821,
2486,110.7767563,2486,0.2716682255,2486,34.08366013,
2485,110.6582031,2485,0.3369403481,2485,33.97385406,
2484,110.561409,2484,0.345315963,2484,34.01078415,
2483,110.5091705,2483,0.3617064655,2483,33.88097763,
2482,110.4256744,2482,0.3134779334,2482,34.00074005,
2481,110.3327637,2481,0.362901479,2481,33.89390182,
2480,110.2483978,2480,0.3188013434,2480,33.91827011,
2479,110.1724396,2479,0.3343009949,2479,33.89579773,
2478,110.0559235,2478,0.3558617234,2478,33.85563278,
2477,109.9779587,2477,0.2809576988,2477,33.94840622,
2476,109.9837036,2476,0.2919920981,2476,33.87194824,
2475,109.8581161,2475,0.3289309442,2475,33.82112503,
2474,109.79216,2474,0.3358851373,2474,33.8135376,
2473,109.7119675,2473,0.348542124,2473,33.78116608,
2472,109.6457367,2472,0.3128423691,2472,33.8384552,
2471,109.6021805,2471,0.3121067882,2471,33.78577423,
2470,109.5141068,2470,0.3442096412,2470,33.82286835,
2469,109.4485168,2469,0.2933532596,2469,33.76547241,
2468,109.3992004,2468,0.3082877696,2468,33.7457695,
2467,109.3736038,2467,0.3001559377,2467,33.6972847,
2466,109.2790756,2466,0.3261312544,2466,33.74378586,
2465,109.2260513,2465,0.3489521444,2465,33.68070984,
2464,109.1258545,2464,0.3523631096,2464,33.72402954,
2463,109.0693359,2463,0.320528388,2463,33.67647552,
2462,109.0751801,2462,0.3245387077,2462,33.65703964,
2461,108.9516525,2461,0.3362324238,2461,33.69556808,
2460,108.8848495,2460,0.3141740263,2460,33.70154953,
2459,108.8886414,2459,0.2977249622,2459,33.67715836,
2458,108.8075256,2458,0.3664319515,2458,33.58529663,
2457,108.758316,2457,0.3480743766,2457,33.58683777,
2456,108.6882324,2456,0.3255928755,2456,33.63209534,
2455,108.6424484,2455,0.3005581796,2455,33.61241913,
2454,108.5976868,2454,0.3133861721,2454,33.57646942,
2453,108.4936371,2453,0.3154444396,2453,33.59024048,
2452,108.4970245,2452,0.3434417248,2452,33.54176712,
2451,108.3768005,2451,0.3054243326,2451,33.55243683,
2450,108.3623199,2450,0.3017317951,2450,33.55572891,
2449,108.2730255,2449,0.3519580364,2449,33.51902771,
2448,108.2538452,2448,0.3013939261,2448,33.52875519,
2447,108.1601944,2447,0.3589506745,2447,33.47157288,
2446,108.1275711,2446,0.3169608116,2446,33.46308136,
2445,108.0205536,2445,0.3125011027,2445,33.49702835,
2444,107.9845276,2444,0.3332768679,2444,33.45158768,
2443,107.914711,2443,0.3541607857,2443,33.44841766,
2442,107.8415375,2442,0.3271616697,2442,33.43609619,
2441,107.8016739,2441,0.3226754665,2441,33.45053864,
2440,107.7206116,2440,0.2801440358,2440,33.4513855,
2439,107.6521072,2439,0.3282163441,2439,33.39774323,
2438,107.5876236,2438,0.3257688582,2438,33.40950775,
2437,107.5452347,2437,0.3381284177,2437,33.36787033,
2436,107.5136337,2436,0.3348552287,2436,33.37410736,
2435,107.4511871,2435,0.3238416612,2435,33.37264252,
2434,107.3773346,2434,0.3134384155,2434,33.35207748,
2433,107.3295135,2433,0.3048734367,2433,33.38241577,
2432,107.2595444,2432,0.3252842128,2432,33.33773041,
2431,107.2036057,2431,0.3133678436,2431,33.32921982,
2430,107.1554413,2430,0.2805780768,2430,33.32528305,
2429,107.0970383,2429,0.3257976174,2429,33.26014709,
2428,107.032608,2428,0.3105401695,2428,33.27625275,
2427,106.9760895,2427,0.3374953866,2427,33.2612114,
2426,106.9229507,2426,0.3449715972,2426,33.24494171,
2425,106.8724899,2425,0.3211121857,2425,33.26471329,
2424,106.7747726,2424,0.3202603757,2424,33.20988464,
2423,106.7483063,2423,0.3264351189,2423,33.2303009,
2422,106.6822433,2422,0.2838903069,2422,33.25244141,
2421,106.6449661,2421,0.2890439332,2421,33.21007538,
2420,106.5656815,2420,0.3045675457,2420,33.21193314,
2419,106.551445,2419,0.3327870667,2419,33.12543869,
2418,106.4805374,2418,0.3191601038,2418,33.11993408,
2417,106.4088364,2417,0.304967463,2417,33.18887711,
2416,106.38237,2416,0.3425762653,2416,33.10435867,
2415,106.3071136,2415,0.3147070408,2415,33.09695435,
2414,106.2631149,2414,0.3404400647,2414,33.07322311,
2413,106.1938553,2413,0.3116455078,2413,33.0834465,
2412,106.1589355,2412,0.3240201473,2412,33.05149841,
2411,106.1185226,2411,0.3292709291,2411,33.0294075,
2410,106.0545197,2410,0.3089839816,2410,33.03694153,
2409,106.029068,2409,0.286465168,2409,33.02851105,
2408,105.9594498,2408,0.318290472,2408,33.02100372,
2407,105.9017181,2407,0.3281508684,2407,32.98429871,
2406,105.8288193,2406,0.284185797,2406,33.00933075,
2405,105.8141556,2405,0.3273858726,2405,32.9496994,
2404,105.7900162,2404,0.3081671894,2404,32.94858932,
2403,105.7208099,2403,0.3139089942,2403,32.91013336,
2402,105.678894,2402,0.3349592388,2402,32.89760971,
2401,105.6508331,2401,0.3083460033,2401,32.90768433,
2400,105.6148987,2400,0.3294230998,2400,32.87260056,
2399,105.5555954,2399,0.3227773905,2399,32.85666275,
2398,105.5255508,2398,0.3100751936,2398,32.875103,
2397,105.5008392,2397,0.3183723986,2397,32.84601593,
2396,105.4245377,2396,0.3269663453,2396,32.81665039,
2395,105.4193344,2395,0.3038948476,2395,32.81427765,
2394,105.3827286,2394,0.321811378,2394,32.80073929,
2393,105.3592834,2393,0.2999230623,2393,32.79926682,
2392,105.3308945,2392,0.2922995687,2392,32.79390717,
2391,105.2801361,2391,0.2926114202,2391,32.77577591,
2390,105.3034821,2390,0.3091386855,2390,32.69709396,
2389,105.244278,2389,0.2939006686,2389,32.75440216,
2388,105.2173615,2388,0.3011259139,2388,32.71792221,
2387,105.1820374,2387,0.292740792,2387,32.69848251,
2386,105.1620102,2386,0.3320457935,2386,32.65846252,
