"Plaque Gravee-1,,Convert to Abs(""Plaque Gravee-1""):Plaque Gravee-1,,"
Wavelength (nm),%R,Wavelength (nm),Abs,
2500,34.33504486,2500,0.4642623961,
2499,34.30847168,2499,0.4645986259,
2498,34.26789474,2498,0.4651125968,
2497,34.22625732,2497,0.4656406045,
2496,34.27822113,2496,0.4649817348,
2495,34.15545654,2495,0.4665399194,
2494,34.17509079,2494,0.4662902951,
2493,34.14259338,2493,0.4667035043,
2492,34.11735153,2492,0.467024684,
2491,34.09107971,2491,0.4673592448,
2490,34.06094742,2490,0.4677433074,
2489,34.1006012,2489,0.4672379792,
2488,34.03513336,2488,0.4680725336,
2487,34.07978821,2487,0.4675031304,
2486,34.08366013,2486,0.467453748,
2485,33.97385406,2485,0.4688551724,
2484,34.01078415,2484,0.4683833718,
2483,33.88097763,2483,0.4700440466,
2482,34.00074005,2482,0.468511641,
2481,33.89390182,2481,0.4698784351,
2480,33.91827011,2480,0.4695663154,
2479,33.89579773,2479,0.4698541462,
2478,33.85563278,2478,0.4703690708,
2477,33.94840622,2477,0.4691806138,
2476,33.87194824,2476,0.4701598287,
2475,33.82112503,2475,0.4708119631,
2474,33.8135376,2474,0.4709094167,
2473,33.78116608,2473,0.4713253677,
2472,33.8384552,2472,0.4705894887,
2471,33.78577423,2471,0.4712661207,
2470,33.82286835,2470,0.4707895815,
2469,33.76547241,2469,0.471527189,
2468,33.7457695,2468,0.4717806876,
2467,33.6972847,2467,0.4724051058,
2466,33.74378586,2466,0.4718061686,
2465,33.68070984,2465,0.4726187587,
2464,33.72402954,2464,0.4720605314,
2463,33.67647552,2463,0.4726733565,
2462,33.65703964,2462,0.4729241133,
2461,33.69556808,2461,0.472427249,
2460,33.70154953,2460,0.4723501205,
2459,33.67715836,2459,0.4726645648,
2458,33.58529663,2458,0.4738507867,
2457,33.58683777,2457,0.4738308787,
2456,33.63209534,2456,0.4732460678,
2455,33.61241913,2455,0.4735002518,
2454,33.57646942,2454,0.4739649594,
2453,33.59024048,2453,0.4737868905,
2452,33.54176712,2452,0.4744140804,
2451,33.55243683,2451,0.4742759168,
2450,33.55572891,2450,0.4742333293,
2449,33.51902771,2449,0.4747085869,
2448,33.52875519,2448,0.4745825827,
2447,33.47157288,2447,0.4753238857,
2446,33.46308136,2446,0.4754340649,
2445,33.49702835,2445,0.4749937057,
2444,33.45158768,2444,0.4755832851,
2443,33.44841766,2443,0.4756244123,
2442,33.43609619,2442,0.4757844508,
2441,33.45053864,2441,0.4755969048,
2440,33.4513855,2440,0.4755859077,
2439,33.39774323,2439,0.4762828946,
2438,33.40950775,2438,0.4761299193,
2437,33.36787033,2437,0.4766715169,
2436,33.37410736,2436,0.4765903354,
2435,33.37264252,2435,0.4766093791,
2434,33.35207748,2434,0.4768771231,
2433,33.38241577,2433,0.4764822423,
2432,33.33773041,2432,0.4770639837,
2431,33.32921982,2431,0.4771748781,
2430,33.32528305,2430,0.4772261679,
2429,33.26014709,2429,0.4780758619,
2428,33.27625275,2428,0.4778655767,
2427,33.2612114,2427,0.4780619144,
2426,33.24494171,2426,0.4782744348,
2425,33.26471329,2425,0.4780161977,
2424,33.20988464,2424,0.4787326455,
2423,33.2303009,2423,0.4784657061,
2422,33.25244141,2422,0.4781764448,
2421,33.21007538,2421,0.4787301421,
2420,33.21193314,2420,0.4787058234,
2419,33.12543869,2419,0.4798383415,
2418,33.11993408,2418,0.4799105227,
2417,33.18887711,2417,0.4790074527,
2416,33.10435867,2416,0.4801147878,
2415,33.09695435,2415,0.4802119732,
