AURAL2,,Convert to %R("AURAL2"):AURAL2,,Convert to Abs("Convert to %R("AURAL2"):AURAL2"):Convert to %R("AURAL2"):AURAL2,,
Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),Abs,
2500,26.04782867,2500,26.04782867,2500,0.584228456,
2499,25.8592453,2499,25.8592453,2499,0.5873841643,
2498,25.87352371,2498,25.87352371,2498,0.5871444345,
2497,25.8867054,2497,25.8867054,2497,0.5869232416,
2496,25.86744118,2496,25.86744118,2496,0.5872465372,
2495,25.87198639,2495,25.87198639,2495,0.5871702433,
2494,25.8436985,2494,25.8436985,2494,0.5876453519,
2493,25.79269409,2493,25.79269409,2493,0.5885033011,
2492,25.80333328,2492,25.80333328,2492,0.5883241892,
2491,25.83317184,2491,25.83317184,2491,0.5878222585,
2490,25.73211288,2490,25.73211288,2490,0.5895245671,
2489,25.67833328,2489,25.67833328,2489,0.5904331803,
2488,25.74814606,2488,25.74814606,2488,0.5892540216,
2487,25.7432518,2487,25.7432518,2487,0.5893365741,
2486,25.73934174,2486,25.73934174,2486,0.5894025564,
2485,25.71439362,2485,25.71439362,2485,0.5898237228,
2484,25.62253761,2484,25.62253761,2484,0.5913778543,
2483,25.65515137,2483,25.65515137,2483,0.5908254385,
2482,25.65226936,2482,25.65226936,2482,0.5908741951,
2481,25.64130211,2481,25.64130211,2481,0.5910599232,
2480,25.58672142,2480,25.58672142,2480,0.5919853449,
2479,25.58430672,2479,25.58430672,2479,0.5920263529,
2478,25.61644363,2478,25.61644363,2478,0.5914811492,
2477,25.51899529,2477,25.51899529,2477,0.5931364298,
2476,25.55510712,2476,25.55510712,2476,0.5925223231,
2475,25.49826431,2475,25.49826431,2475,0.5934893489,
2474,25.58979416,2474,25.58979416,2474,0.5919331908,
2473,25.57097054,2473,25.57097054,2473,0.5922527909,
2472,25.53960037,2472,25.53960037,2472,0.5927858949,
2471,25.46832275,2471,25.46832275,2471,0.5939996839,
2470,25.55470848,2470,25.55470848,2470,0.5925290585,
2469,25.55319405,2469,25.55319405,2469,0.5925548077,
2468,25.48265839,2468,25.48265839,2468,0.5937553048,
2467,25.47897339,2467,25.47897339,2467,0.5938180685,
2466,25.49527359,2466,25.49527359,2466,0.5935403109,
2465,25.47764206,2465,25.47764206,2465,0.5938407779,
2464,25.45218849,2464,25.45218849,2464,0.5942748785,
2463,25.46851349,2463,25.46851349,2463,0.5939964056,
2462,25.41806793,2462,25.41806793,2462,0.5948574543,
2461,25.43339157,2461,25.43339157,2461,0.5945957303,
2460,25.48460388,2460,25.48460388,2460,0.593722105,
2459,25.43082809,2459,25.43082809,2459,0.5946394801,
2458,25.43955231,2458,25.43955231,2458,0.5944905281,
2457,25.4473629,2457,25.4473629,2457,0.5943571925,
2456,25.39840698,2456,25.39840698,2456,0.5951935053,
2455,25.43404388,2455,25.43404388,2455,0.5945845842,
2454,25.44345284,2454,25.44345284,2454,0.5944239497,
2453,25.39113998,2453,25.39113998,2453,0.595317781,
2452,25.39707947,2452,25.39707947,2452,0.5952162147,
2451,25.36764145,2451,25.36764145,2451,0.5957199335,
2450,25.40077782,2450,25.40077782,2450,0.5951529741,
2449,25.36535645,2449,25.36535645,2449,0.5957590342,
2448,25.34030342,2448,25.34030342,2448,0.5961881876,
2447,25.33367538,2447,25.33367538,2447,0.5963017941,
2446,25.3787899,2446,25.3787899,2446,0.5955290794,
2445,25.29335403,2445,25.29335403,2445,0.5969935656,
2444,25.34892273,2444,25.34892273,2444,0.5960404873,
2443,25.31484985,2443,25.31484985,2443,0.5966246724,
2442,25.33763123,2442,25.33763123,2442,0.5962340236,
2441,25.32934761,2441,25.32934761,2441,0.5963760018,
2440,25.27931595,2440,25.27931595,2440,0.5972346663,
2439,25.27279854,2439,25.27279854,2439,0.5973466635,
2438,25.322258,2438,25.322258,2438,0.5964975357,
2437,25.26371765,2437,25.26371765,2437,0.597502768,
2436,25.28435516,2436,25.28435516,2436,0.5971481204,
2435,25.26577759,2435,25.26577759,2435,0.5974673629,
2434,25.22431946,2434,25.22431946,2434,0.5981805325,
2433,25.27704811,2433,25.27704811,2433,0.5972736478,
2432,25.21618843,2432,25.21618843,2432,0.5983205438,
2431,25.22602463,2431,25.22602463,2431,0.598151207,
2430,25.23732185,2430,25.23732185,2430,0.597956717,
2429,25.22060204,2429,25.22060204,2429,0.5982445478,
2428,25.23004341,2428,25.23004341,2428,0.598082006,
2427,25.18314743,2427,25.18314743,2427,0.5988900065,
2426,25.18843651,2426,25.18843651,2426,0.5987987518,
2425,25.17210197,2425,25.17210197,2425,0.599080503,
2424,25.21446037,2424,25.21446037,2424,0.5983503461,
2423,25.1801815,2423,25.1801815,2423,0.5989411473,
2422,25.11942291,2422,25.11942291,2422,0.5999903083,
2421,25.19501114,2421,25.19501114,2421,0.5986854434,
2420,25.14748192,2420,25.14748192,2420,0.5995054841,
2419,25.1581459,2419,25.1581459,2419,0.5993213654,
2418,25.12478828,2418,25.12478828,2418,0.5998975635,
2417,25.13647461,2417,25.13647461,2417,0.5996956229,
2416,25.11993599,2416,25.11993599,2416,0.5999814868,
2415,25.1105423,2415,25.1105423,2415,0.6001439095,
2414,25.10924911,2414,25.10924911,2414,0.6001662612,
2413,25.05565834,2413,25.05565834,2413,0.6010941863,
2412,25.09979248,2412,25.09979248,2412,0.6003298759,
2411,25.09826469,2411,25.09826469,2411,0.6003563404,
2410,25.0757122,2410,25.0757122,2410,0.6007466912,
2409,25.0732193,2409,25.0732193,2409,0.6007899046,
2408,25.04250717,2408,25.04250717,2408,0.6013221741,
2407,25.01903534,2407,25.01903534,2407,0.6017294526,
2406,25.03892136,2406,25.03892136,2406,0.6013844013,
2405,25.01004601,2405,25.01004601,2405,0.6018854976,
2404,25.00927734,2404,25.00927734,2404,0.601898849,
2403,25.02579308,2403,25.02579308,2403,0.6016121507,
2402,24.98314476,2402,24.98314476,2402,0.6023528576,
2401,24.97488785,2401,24.97488785,2401,0.6024964452,
2400,24.92419243,2400,24.92419243,2400,0.6033788919,
2399,24.95048141,2399,24.95048141,2399,0.6029210687,
2398,24.94364929,2398,24.94364929,2398,0.6030399799,
2397,24.91043854,2397,24.91043854,2397,0.6036186218,
2396,24.93700027,2396,24.93700027,2396,0.6031557918,
2395,24.90012741,2395,24.90012741,2395,0.603798449,
2394,24.91237831,2394,24.91237831,2394,0.603584826,
2393,24.91078377,2393,24.91078377,2393,0.6036126018,
2392,24.89188957,2392,24.89188957,2392,0.6039421558,
2391,24.86738777,2391,24.86738777,2391,0.6043698192,
2390,24.89009285,2390,24.89009285,2390,0.6039734483,
2389,24.89390564,2389,24.89390564,2389,0.6039069891,
2388,24.84257889,2388,24.84257889,2388,0.6048033237,
2387,24.83044624,2387,24.83044624,2387,0.6050154567,
2386,24.84052086,2386,24.84052086,2386,0.604839325,
2385,24.8102417,2385,24.8102417,2385,0.6053690314,
2384,24.80402374,2384,24.80402374,2384,0.6054778695,
2383,24.78255844,2383,24.78255844,2383,0.6058538556,
2382,24.78593636,2382,24.78593636,2382,0.6057946682,
2381,24.78544044,2381,24.78544044,2381,0.6058033705,
2380,24.70559883,2380,24.70559883,2380,0.6072046161,
2379,24.75642204,2379,24.75642204,2379,0.6063120961,
2378,24.77149582,2378,24.77149582,2378,0.6060478091,
2377,24.74623299,2377,24.74623299,2377,0.6064909101,
2376,24.72498322,2376,24.72498322,2376,0.6068639755,
2375,24.73232841,2375,24.73232841,2375,0.6067349911,
2374,24.67922592,2374,24.67922592,2374,0.6076684594,
2373,24.68364334,2373,24.68364334,2373,0.607590735,
2372,24.66955566,2372,24.66955566,2372,0.6078386903,
2371,24.66793442,2371,24.66793442,2371,0.6078671813,
2370,24.64791298,2370,24.64791298,2370,0.608219862,
2369,24.61955643,2369,24.61955643,2369,0.6087197661,
2368,24.6300602,2368,24.6300602,2368,0.6085345149,
2367,24.62078285,2367,24.62078285,2367,0.6086981297,
2366,24.62947845,2366,24.62947845,2366,0.6085447669,
2365,24.60716057,2365,24.60716057,2365,0.6089385152,
2364,24.56770897,2364,24.56770897,2364,0.6096353531,
