temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
0.0,inconnu,0.0,0.0
0.214,inconnu,0.0,0.0
0.773,inconnu,0.0,0.0
1.273,inconnu,0.0,0.0
1.785,inconnu,0.0,0.0
2.327,inconnu,0.0,0.0
2.857,inconnu,0.0,0.0
3.401,inconnu,0.0,0.0
3.923,inconnu,0.0,0.0
4.467,inconnu,0.0,0.0
5.022,inconnu,0.0,0.0
5.529,inconnu,0.0,0.0
6.067,inconnu,0.0,0.0
6.601,inconnu,0.0,0.0
7.138,inconnu,0.0,0.0
7.67,inconnu,0.0,0.0
8.199,inconnu,0.0,0.0
8.749,inconnu,0.0,0.0
9.287,inconnu,0.0,0.0
9.809,inconnu,0.0,0.0
10.354,inconnu,0.0,0.0
10.888,inconnu,0.0,0.0
11.428,inconnu,0.0,0.0
11.953,inconnu,0.0,0.0
12.492,inconnu,0.0,0.0
13.033,inconnu,0.0,0.0
13.563,inconnu,0.0,0.0
14.095,inconnu,0.0,0.0
14.604,inconnu,0.0,0.0
15.167,inconnu,0.0,0.0
15.712,inconnu,0.0,0.0
16.233,inconnu,0.0,0.0
16.773,inconnu,0.0,0.0
17.314,inconnu,0.0,0.0
17.846,inconnu,0.0,0.0
18.374,inconnu,0.0,0.0
18.914,inconnu,0.0,0.0
19.443,inconnu,0.0,0.0
19.984,inconnu,0.0,0.0
20.506,inconnu,0.0,0.0
21.044,inconnu,0.0,0.0
21.581,inconnu,0.0,0.0
22.123,inconnu,0.0,0.0
22.651,inconnu,0.0,0.0
23.189,inconnu,0.0,0.0
23.73,inconnu,0.0,0.0
24.258,inconnu,0.0,0.0
24.789,inconnu,0.0,0.0
25.328,inconnu,0.0,0.0
25.866,inconnu,0.0,0.0
26.399,inconnu,0.0,0.0
26.925,inconnu,0.0,0.0
27.472,inconnu,0.0,0.0
27.998,inconnu,0.0,0.0
28.584,inconnu,0.0,0.0
29.105,inconnu,0.0,0.0
29.572,inconnu,0.0,0.0
30.1,inconnu,0.0,0.0
30.672,inconnu,0.0,0.0
31.209,inconnu,0.0,0.0
31.746,inconnu,0.0,0.0
32.284,inconnu,0.0,0.0
32.795,inconnu,0.0,0.0
33.34,inconnu,0.0,0.0
33.861,inconnu,0.0,0.0
34.428,inconnu,0.0,0.0
34.964,inconnu,0.0,0.0
35.46,inconnu,0.0,0.0
36.018,inconnu,0.0,0.0
36.554,inconnu,0.0,0.0
37.095,inconnu,0.0,0.0
37.619,inconnu,0.0,0.0
38.159,inconnu,0.0,0.0
38.696,inconnu,0.0,0.0
39.237,inconnu,0.0,0.0
39.762,inconnu,0.0,0.0
40.296,inconnu,0.0,0.0
40.841,inconnu,0.0,0.0
41.367,inconnu,0.0,0.0
41.902,inconnu,0.0,0.0
42.44,inconnu,0.0,0.0
42.974,inconnu,0.0,0.0
43.511,inconnu,0.0,0.0
44.054,inconnu,0.0,0.0
44.561,inconnu,0.0,0.0
45.121,inconnu,0.0,0.0
45.661,inconnu,0.0,0.0
46.194,inconnu,0.0,0.0
46.729,inconnu,0.0,0.0
47.263,inconnu,0.0,0.0
47.797,inconnu,0.0,0.0
48.331,inconnu,0.0,0.0
48.863,inconnu,0.0,0.0
49.397,inconnu,0.0,0.0
49.937,inconnu,0.0,0.0
50.47,inconnu,0.0,0.0
51.003,inconnu,0.0,0.0
51.539,inconnu,0.0,0.0
52.07,inconnu,0.0,0.0
52.645,inconnu,0.0,0.0
53.146,inconnu,0.0,0.0
53.676,inconnu,0.0,0.0
54.211,inconnu,0.0,0.0
54.746,inconnu,0.0,0.0
55.279,inconnu,0.0,0.0
55.812,inconnu,0.0,0.0
56.356,inconnu,0.0,0.0
56.891,inconnu,0.0,0.0
57.425,inconnu,0.0,0.0
57.959,inconnu,0.0,0.0
58.491,inconnu,0.0,0.0
59.024,inconnu,0.0,0.0
59.543,inconnu,0.0,0.0
60.097,inconnu,0.0,0.0
60.628,inconnu,0.0,0.0
61.16,inconnu,0.0,0.0
61.687,inconnu,0.0,0.0
62.236,inconnu,0.0,0.0
62.765,inconnu,0.0,0.0
63.313,inconnu,0.0,0.0
63.843,inconnu,0.0,0.0
64.374,inconnu,0.0,0.0
64.9,inconnu,0.0,0.0
65.444,inconnu,0.0,0.0
65.975,inconnu,0.0,0.0
66.517,inconnu,0.0,0.0
67.046,inconnu,0.0,0.0
67.589,inconnu,0.0,0.0
68.11,inconnu,0.0,0.0
68.653,inconnu,0.0,0.0
69.182,inconnu,0.0,0.0
69.703,inconnu,0.0,0.0
70.256,inconnu,0.0,0.0
70.794,inconnu,0.0,0.0
71.323,inconnu,0.0,0.0
71.858,inconnu,0.0,0.0
72.399,inconnu,0.0,0.0
72.936,inconnu,0.0,0.0
73.465,inconnu,0.0,0.0
73.979,inconnu,0.0,0.0
74.536,inconnu,0.0,0.0
75.065,inconnu,0.0,0.0
75.609,inconnu,0.0,0.0
76.168,inconnu,0.0,0.0
76.658,inconnu,0.0,0.0
77.206,inconnu,0.0,0.0
77.75,inconnu,0.0,0.0
78.281,inconnu,0.0,0.0
78.813,inconnu,0.0,0.0
79.355,inconnu,0.0,0.0
79.883,inconnu,0.0,0.0
80.43,inconnu,0.0,0.0
80.947,inconnu,0.0,0.0
81.489,inconnu,0.0,0.0
82.031,inconnu,0.0,0.0
82.549,inconnu,0.0,0.0
83.091,inconnu,0.0,0.0
83.63,inconnu,0.0,0.0
84.158,inconnu,0.0,0.0
84.671,inconnu,0.0,0.0
85.229,NIR,670.0,1.5987265921514728
85.769,NIR,972.0,0.9198500726382747
86.276,NIR,981.0,1.147170287519113
86.84,NIR,963.0,1.3376382803572449
87.369,NIR,977.0,1.6279788534562059
87.907,NIR,972.0,1.8675488813079149
88.439,NIR,970.0,2.0900812275112655
88.985,NIR,973.0,2.317084441197197
89.519,NIR,978.0,2.6244142911716044
90.065,NIR,978.0,2.6244142911716044
90.587,NIR,973.0,2.548993859729065
91.122,NIR,973.0,2.548993859729065
91.657,NIR,973.0,2.548993859729065
92.191,NIR,976.0,2.5728714707308193
92.708,NIR,976.0,2.5728714707308193
93.268,NIR,978.0,2.56736482433043
93.8,NIR,974.0,2.5613108165331027
94.341,NIR,967.0,2.563728348010433
94.87,NIR,967.0,2.563728348010433
95.408,NIR,967.0,2.563728348010433
95.939,NIR,967.0,2.563728348010433
96.478,NIR,967.0,2.586546305220704
97.006,NIR,967.0,2.594703838982773
97.544,NIR,967.0,2.586546305220704
98.084,NIR,967.0,2.586546305220704
98.613,NIR,970.0,2.595016451217258
99.15,NIR,970.0,2.595016451217258
99.688,NIR,973.0,2.5853135824192544
100.218,NIR,973.0,2.5853135824192544
100.755,NIR,973.0,2.5853135824192544
101.294,NIR,973.0,2.5853135824192544
101.826,NIR,973.0,2.5853135824192544
102.366,NIR,973.0,2.5853135824192544
102.888,NIR,980.0,2.6025597631475805
103.429,NIR,973.0,2.5853135824192544
103.973,NIR,967.0,2.563728348010433
104.504,NIR,981.0,2.6241651701001047
105.035,NIR,967.0,2.571885881772502
105.573,NIR,967.0,2.571885881772502
106.105,NIR,967.0,2.5793472720570527
106.636,NIR,967.0,2.5793472720570527
107.175,NIR,967.0,2.5793472720570527
107.692,NIR,967.0,2.5793472720570527
108.244,NIR,967.0,2.5793472720570527
108.774,NIR,967.0,2.5793472720570527
109.319,NIR,975.0,2.5761318531279414
109.841,NIR,967.0,2.5793472720570527
110.381,NIR,967.0,2.5793472720570527
110.921,NIR,967.0,2.5793472720570527
111.451,NIR,967.0,2.5793472720570527
111.994,NIR,967.0,2.5793472720570527
