R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R24,R13,R14,R15,R16,R17,R18,R19,R20,R21,R25,PD25,PD26,PD27,PD28,PD29,PD30,timestamp,temps_ecoule_s
31.08,33.74,33.6,31.48,32.41,33.61,31.56,32.42,32.7,31.64,30.84,31.8,30.89,30.04,31.15,32.42,31.65,30.65,32.83,31.02,31.62,24.05,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:31,0.0
31.04,33.66,33.48,31.44,32.37,33.53,31.48,32.38,32.62,31.56,30.77,31.73,30.76,29.96,31.08,32.38,31.57,30.57,32.75,30.94,31.54,24.05,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:32,0.214
31.0,33.62,33.4,31.4,32.29,33.48,31.44,32.33,32.54,31.52,30.69,31.67,30.71,29.92,31.01,32.31,31.54,30.53,32.67,30.87,31.46,24.05,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:32,0.773
30.95,33.58,33.32,31.32,32.21,33.4,31.36,32.25,32.5,31.44,30.65,31.61,30.67,29.84,30.97,32.23,31.5,30.5,32.63,30.79,31.42,24.05,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:33,1.273
30.91,33.5,33.28,31.32,32.12,33.36,31.32,32.16,32.42,31.4,30.61,31.55,30.58,29.8,30.9,32.16,31.42,30.42,32.55,30.75,31.38,24.01,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:33,1.785
30.83,33.42,33.2,31.23,32.04,33.28,31.25,32.08,32.38,31.36,30.58,31.5,30.54,29.76,30.9,32.08,31.38,30.39,32.51,30.67,31.34,24.05,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:34,2.327
30.79,33.34,33.12,31.19,32.0,33.2,31.21,32.04,32.34,31.28,30.5,31.44,30.45,29.72,30.86,32.01,31.35,30.35,32.43,30.64,31.26,24.01,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:34,2.857
30.75,33.3,33.04,31.11,31.92,33.16,31.13,31.91,32.26,31.24,30.46,31.38,30.41,29.68,30.79,31.97,31.27,30.27,32.35,30.6,31.22,24.05,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:35,3.401
30.67,33.22,33.0,31.07,31.88,33.08,31.09,31.87,32.18,31.2,30.42,31.32,30.37,29.6,30.72,31.9,31.23,30.24,32.27,30.52,31.18,24.01,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:35,3.923
30.63,33.18,32.92,30.98,31.8,33.0,31.01,31.83,32.1,31.17,30.35,31.26,30.32,29.56,30.68,31.86,31.15,30.16,32.19,30.48,31.1,24.01,0.0,0.0,0.0,0.0,0.04,0.03,2025-04-22T18:02:36,4.467
